company,ac_favorite,ac_forward,ac_twenum,en_favorite_before,en_forward_before,en_twenum_before,en_favorite_after,en_forward_after,en_twenum_after,favorite_before,forward_before,twenum_before,favorite_after,forward_after,twenum_after,en_favorite,en_forward,en_twenum,favorite,forward,twenum,acc.owner,founded_on_year,seed_year,teamsize,co,total_funding_usd
one-month-rails,3444,4122,609,30,21.66666667,67.33333333,141,45,99.33333333,0,0,0,56,13,124,111,24,32,56,13,72,y-combinator,2013,2013,3,747,784000
wikisway,11,117,135,1,0,21,17,10,56,0,1,2,1,1,0,16,10,35,1,0,0,portland-seed-fund,2011,2012,3,23,140000
ubiome,2718,3335,492,0,0,0,118,130,35,0,0,1,22,0,45,118,130,35,22,0,25,y-combinator,2013,2012,2,747,4971193
edumoko,231,314,631,10.5,2.5,45,17,8,80,5,1,30,7,1,0,6.5,6,35,2,0,0,startup-wise-guys,2013,2013,3,24,0
shortlist,60,369,189,2,3,21,5,9,57,0,2,2,6,15,18,3,6,36,6,13,18,excelerate-labs-2,2011,2011,1,30,310000
lifecrowd,23,120,90,2.666666667,5.333333333,37.66666667,39,75,74.75,1,24,191,3,68,3,36.33333333,70,37.08333333,2,44,3,muckercapital,2011,2012,4,27,5000000
piggybackr,62,230,62,1.333333333,1,14.33333333,42,11,52,2,1,5,41,9,77,40.66666667,10,37.66666667,39,8,44,angelpad,2011,2013,3,98,325000
tripl,48,220,293,0,0,0,0,3,39,0,0,6,2,4,52,0,3,39,2,4,52,dreamit-ventures,2011,2011,2,139,900000
medigram,1475,1855,319,0,0,0,6,3,40,0,0,0,13,4,7,6,3,40,13,4,2,y-combinator,2011,2012,1,747,0
theshelf,62,230,62,6.5,20.5,52,35,22,92.5,0,0,0,8,1,19,28.5,2,40.5,8,1,12,angelpad,2012,2013,3,98,0
getmerated,49,212,146,0,1,5,19,6,47,24,6,91,15,12,71,19,5,42,-9,6,59,muckercapital,2012,2013,1,27,0
pathful,425,549,238,6,2.5,24.5,13,2,67,0,0,0,9,7,7,7,-1,42.5,9,7,5,techstars,2012,2013,2,489,400000
parse,1072,1245,249,0.333333333,6.333333333,41.66666667,15.25,11,84.75,0,2,12,20,2,17,14.91666667,5,43.08333333,20,0,3,y-combinator,2011,2011,4,747,7000000
ark,1194,1420,273,6.666666667,9.333333333,58.66666667,28.5,42,102.5,0,4,35,1,23,3,21.83333333,33,43.83333333,1,19,3,y-combinator,2011,2011,3,747,5250000
roobi,62,230,62,0,0,0,19.5,7,44.5,0,0,1,4,7,0,19.5,7,44.5,4,7,0,angelpad,2013,2013,3,98,0
adespresso,2109,2087,138,7,3,21,37,16,66,18,8,53,293,13,52,30,13,45,275,5,-234,500-startups,2011,2013,2,267,1800000
educreations,3,5,2,2,10,31,4,5,77,0,1,12,19,1,80,2,-5,46,19,0,67,imagine-k12,2011,2011,1,66,2200000
tutorspree,1219,1481,277,2.5,8.5,61,16.5,30,107,0,1,23,5,18,11,14,21,46,5,17,11,y-combinator,2010,2011,2,747,1800000
kicksend,1194,1420,273,3.666666667,5.333333333,25.33333333,25.33333334,26,71.66666667,1,9,6,5,9,9,21.66666667,20,46.33333333,4,0,9,y-combinator,2011,2011,3,747,2800000
connectifier,63,234,331,14,13.66666667,22.33333333,86,55,70,0,6,4,1,27,0,72,41,47.66666667,1,21,0,launchpadla,2012,2012,3,26,5200000
genjuice,0,0,5,3,8,92,11,26,140,2,11,41,2,22,0,8,18,48,0,11,0,nyc-seedstart,2010,2011,3,21,0
reelsurfer,2391,2971,468,0,1,14,12,5,62,2,0,36,1,7,0,12,4,48,-1,7,0,y-combinator,2008,2012,1,747,880000
adsnative,5133,5129,1766,5.666666667,1,52.33333333,25,3,100.5,0,0,0,67,6,66,19.33333333,2,48.16666667,67,6,-1,techstars,2013,2014,8,489,2000000
povio,8696,8855,1142,29.5,16.5,19,15.5,81,68.5,12,2,44,0,2,1,-14,64,49.5,-12,0,1,y-combinator,2013,2014,4,747,75000
the-lean-startup-machine,4664,5502,830,79,60,57.5,247.5,132,108.5,15,12,2,255,57,19,168.5,72,51,240,45,-231,y-combinator,2010,2013,2,747,0
hypejar,29,122,204,0.5,1,9,13,5,60.5,0,2,16,9,2,23,12.5,4,51.5,9,0,17,jolt,2013,2013,3,17,30015
pongr,20,3,28,3,3,31,15,21,83,0,0,0,5,19,69,12,18,52,5,19,69,fbfund,2008,2010,1,45,25000
storefront,96,300,80,2,0,4,58.5,18,56,0,0,0,567,0,516,56.5,18,52,567,0,-46,angelpad,2012,2013,2,98,1600000
chromaom,22,31,15,0,0,1,1,3,54,0,0,0,0,2,1,1,3,53,0,2,1,y-combinator,2010,2010,1,747,0
tellfi,767,944,212,1,3,36,9,11,92,0,4,4,2,10,1,8,8,56,2,6,1,y-combinator,2010,2011,2,747,0
terravion,5696,6437,924,0,0,0,28,7,58,0,0,0,5,7,3,28,7,58,5,7,0,y-combinator,2013,2014,1,747,0
likewhere,87,173,255,2,1,14,31.5,6,72,1,2,9,11,2,71,29.5,5,58,10,0,65,propeller-venture-accelerator,2012,2013,2,19,45500
accredible,163,455,286,9,19.33333333,21,105,80,80,11,16,112,9,39,2,96,61,59,-2,23,1,imagine-k12,2013,2013,3,66,150000
tracelytics,11,92,138,2,1,14.5,3,0,75,0,1,2,10,1,23,1,-1,60.5,10,0,20,betaspring,2010,2011,3,71,5800000
zerocater,1109,1278,255,0,0,9,6,7,70,0,6,2,6,9,48,6,7,61,6,3,43,y-combinator,2009,2011,1,747,1500000
aerofs,190,243,91,1,2,21,2,4,85,0,0,1,7,3,28,1,2,64,7,3,28,y-combinator,2010,2010,2,747,5500000
etacts,84,109,46,0,0,13,7,10,77,0,0,8,6,9,0,7,10,64,6,9,0,y-combinator,2010,2010,1,747,740000
